QuestionID,Question,Answer,Document
Q18,how are antibodies used in,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .",antibody
Q19,how are antibodies used in,"The antibody recognizes a unique part of the foreign target, called an antigen .",antibody
Q20,how are antibodies used in,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.",antibody
Q21,how are antibodies used in,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).",antibody
Q22,how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",J. K. Rowling
Q23,how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381.","Auburndale, Florida"
Q24,"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",Kirk Douglas
Q25,how old is the singer bob seger,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",Bob Seger
Q26,how long was i love lucy on the air,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).",I Love Lucy
Q27,how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",Richard Nixon
Q28,HOW MUCH IS CENTAVOS IN MEXICO,"The peso is subdivided into 100 centavos, represented by "" ¢ "".",Mexican peso
Q29,How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.",Mickie James
Q30,how did armando christian perez become famous,"Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.",Pitbull (entertainer)
Q31,how old were the twin towers when destroyed,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",World Trade Center
Q32,how are the # of electrons in each shell determined,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.",Electron shell
Q33,how many presidents of the us,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.",List of Presidents of the United States
Q34,how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.",Bea Arthur
Q35,how are public schools funded,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .",state school
Q36,how are public schools funded,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",state school
Q37,what happens  to the light independent reactions of photosynthesis?,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,Light-independent reactions
Q38,what happens  to the light independent reactions of photosynthesis?,These reactions take the light-dependent reactions and perform further chemical processes on them.,Light-independent reactions
Q39,how does interlibrary loan work,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library.",Interlibrary loan
Q40,how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.",Interlibrary loan
Q41,what did mia hamm do his work,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",Mia Hamm
Q42,what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .,MacConkey agar
Q43,what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.",Buddhism by country
Q44,how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).",Wild Bill Hickok
Q45,how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.,Mars rover
Q46,how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.",Financial audit
Q47,how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.",Financial audit
Q48,how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,Financial audit
Q49,what bird family is the owl,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species .",Owl
Q50,how did harmon killebrew get strong,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.",Harmon Killebrew
Q51,What did the augurs use to interpret the will of the gods?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.",Augur
Q52,How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone.",The Waterboy
Q53,"What county is Farmington Hills, MI in?",It is the second largest city in Oakland County in the U.S. state of Michigan .,"Farmington Hills, Michigan"
Q54,what does a groundhog look for on groundhog day,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.",Groundhog Day
Q55,What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.,Joint committee
Q56,how many stripes on the flag,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,Flag of the United States
Q57,How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories .,States and territories of India
Q58,how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing.",Pertussis
Q59,how is whooping cough distinguished from similar diseases,The coughing stage lasts approximately six weeks before subsiding.,Pertussis
Q60,what county is galveston in texas,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.,"Galveston County, Texas"
Q61,what cities are in the bahamas,Nassau,List of cities in the Bahamas
Q62,what cities are in the bahamas,"Freeport, Bahamas",List of cities in the Bahamas
Q63,how many schools are in the big ten,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.",Big Ten Conference
Q64,how is single malt scotch made,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.",Single malt Scotch
Q65,how is single malt scotch made,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",Single malt Scotch
Q66,what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .",Sound mass
Q67,what composer used sound mass,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).",Sound mass
Q68,what composer used sound mass,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.,Sound mass
Q69,what composer used sound mass,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).",Sound mass
Q70,what composer used sound mass,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).",Sound mass
Q71,what composer used sound mass,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .",Sound mass
Q72,what composer used sound mass,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).,Sound mass
Q73,How Do You Play Spades,The object is to take at least the number of tricks that were bid before play of the hand began.,Spades
Q74,what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.",Australia (continent)
Q75,what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.,Cardiovascular disease
Q76,what countries did immigrants come from during the immigration,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.",History of immigration to the United States
Q77,what countries did immigrants come from during the immigration,Starting around 1600 British and other Europeans settled primarily on the east coast .,History of immigration to the United States
Q78,how many people live in atlanta georgia,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.",Atlanta
Q79,how many people live in atlanta georgia,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.",Atlanta
Q80,what does it mean to be a commonwealth state,Commonwealth is a traditional English term for a political community founded for the common good.,Commonwealth
Q81,how long can you be in the supreme court,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",Supreme Court of the United States
Q82,what county in texas is conroe located in,Conroe is the seat of Montgomery County and falls within the metropolitan area.,"Conroe, Texas"
Q83,what can sql 2005 do,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).",Microsoft SQL Server
Q84,how many people were killed in the oklahoma city bombing,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people.",Oklahoma City bombing
Q85,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",ARIA Music Awards
Q86,how does a dredge work?,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.",Dredging
Q87,how does a dredge work?,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.",Dredging
Q88,how does a dredge work?,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.",Dredging
Q89,how does a dredge work?,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.",Dredging
Q90,how does a dredge work?,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger.",Dredging
Q91,what did benedict arnold die,"He returned to London to settle permanently in 1791, where he died ten years later.",Benedict arnold
Q92,how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .,Curt Schilling
Q93,how many ports are there in networking,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",Port (computer networking)
Q94,what area code is 479,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.",Area code 479
Q95,what area code is 479,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.",Area code 479
Q96,what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.,Arraignment
Q97,what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.",Geoffrey Chaucer
Q98,what did chaucer do,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.",Geoffrey Chaucer
Q99,what does am and pm stand for,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"").",12-hour clock
